sentence,aspectTerm,opinionPhrase,polarity
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",seasoning,curiously bland,negative
"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",red curry,Weak | tasteless,negative
"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",pad thai,stuck together | lumpy,negative
"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",rice,often overcooked,negative
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,highly refined,positive
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,great,positive
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,delicious,positive
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",portions,large,neutral
The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,fish,fresh,positive
The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,piece,sliced to perfection,positive
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",Food-quality,overcompensate,positive
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",service,overcompensate,positive
They need a kick out of it but until then the sushi is pretty good and the place is consistent.,place,consistent,positive
"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",service,excellent,positive
"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",atmosphere,pretty,positive
The food tasted wonderfully and the location was breathtaking,location,breathtaking,positive
The omelette tasted wonderfully and the location was breathtaking,omelette,tasted wonderfully,positive
Poor service quality: we tried to call the waiter a dozen of times!,service quality,poor,negative
The tomato sauce on the pasta was discreet: my grandma makes it better!,tomato sauce,discreet,neutral
Worst fast food experience: the fries were too greasy and the hamburger seemed like it was hit by a car,fries,too greasy,negative
Shrimps and seefood in general was of poor quality,Shrimps,poor quality,negative
