sentence,aspectTerm,opinionPhrase,polarity
"It has many great programs, such as ILife, iPhotos and others.",programs,great,positive
"The battery life is amazing, the versitility is outstanding.",versitility,outstanding,positive
The software is amazing.,software,amazing,positive
Like the price and operation.,price,like,positive
Awesome laptop and the perfect size to carry around in college.,size,perfect,positive
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",lighted keyboard,like,positive
Can listen to my music and watch my videos with ease and with a great display.,display,great,positive
"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",screen,bright,positive
Screen is crystal clear and the system is very responsive.,system,very responsive,positive
It's fast and has excellent battery life.,battery life,excellent,positive
"Fan vents to the side, so no cooling pad needed, great feature!",feature,great,positive
"I love the size, keyboard, the functions.",keyboard,love,positive
"Love the speed, especially!",speed,love,positive
Great wifi too.,wifi,great,positive
"It is easy to use, has great screen quality, and every so light weight.",screen quality,great,positive
I love the keyboard.,keyboard,love,positive
Screen is crystal clear and the system is very responsive.,Screen,clear,positive
Clear picture on it and everything.,picture,clear,positive
"  My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,horrible,negative
"The battery life is amazing, the versitility is outstanding.",battery life,amazing,positive
"Keyboard is great, very quiet for all the typing that I do.",Keyboard,great,positive
"  It is easy to use, fast and has great graphics for the money.",graphics,great,positive
My problem was with DELL Customer Service.,DELL Customer Service,problem,negative
But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife,great,positive
"The screen is bright and clear, the operating system is solid and friendly to a novice.",screen,bright,positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,very good,positive
The only bad thing about it is they give you the worst batteries possible.,batteries,worst,negative
Excellent LED monitor and well equipped.,LED monitor,excellent,positive
"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.",quality,issue,negative
very convenient when you travel and the battery life is excellent...,battery life,excellent,positive
"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc.",appearance,nice,positive
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",design,sleek,positive
"Good keyboard, long battery life, largest hard drive and windows 7.",keyboard,good,positive
"The price premium is a little much, but when you start looking at the features it is worth the added cash.",features,worth,positive
Peformance is good for the price.,Peformance,good,positive
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",size,love,positive
"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",keyboard,very easy,positive
"Finally, the biggest problem has been tech support.",tech support,problem,negative
"I dislike the weight and size, cubersome.",weight,dislike,negative
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,portable,positive
The ease of use is wonderful.,use,wonderful,positive
super fast processor and really nice graphics card..,graphics card,really nice,positive
also it comes with very useful applications like iphoto that it is the best photo application i have ever had,photo application,best,positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,nice,positive
DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,WARRANTY COMPANY,horrible,negative
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,programs,like,positive
When I called Sony the Customer Service was Great.,Customer Service,great,positive
The trackpad was easy to learn and navigate.,trackpad,easy,positive
Another thing I might add is the battery life is excellent.,battery life,excellent,positive
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",price,great,positive
I am using the external speaker- sound is good.,sound,good,positive
"previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.",operating system,smooth,positive
"Again, the same problem, the right speaker did not work.",right speaker,problem,negative
"It did fairly well, other than it's poor performance, overheating and occational blue screen.",performance,poor,negative
Wonderful sleek case design is only on the outside.,case design,sleek,positive
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",performance,poor,negative
great battery life.,battery life,great,positive
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",applications,easy,positive
The display is awesome.,display,awesome,positive
"Waiting for the i7 was well worth it, great value for the price.",i7,worth,positive
It has good speed and plenty of hard drive space.,speed,good,positive
"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",signals,strong,positive
"The image is great, and the soud is excelent.",image,great,positive
But the machine is awesome and iLife is great and I love Snow Leopard X.,Snow Leopard X,love,positive
"this is my second one and the same problem, bad video card  unreliable overall, this will be my second time returning this laptop back to best buy.",video card,bad,negative
"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,expensive,negative
apple has a reputation and is well known for its easy usage.,usage,easy,positive
All for such a great price.,price,great,positive
I know what 7 hrs of battery looks like.,battery,like,positive
Enabling the battery timer is useless.,battery timer,useless,negative
"Bigger HD, better graphics card, and a bid HD.",graphics card,better,positive
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",price,best,positive
tons of bloatware and junk programs.,programs,junk,negative
defective software.,software,defective,negative
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",screen,perfect,positive
The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,appearance,seamless,positive
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",software,love,positive
"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",battery life,amazing,positive
"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",design,love,positive
"The minute you fire it up it's all good, very easy user interface.",user interface,very easy,positive
"Simple to use, and great graphics.",graphics,great,positive
"It has plenty of memory, lots of hard drive, and great graphics.",graphics,great,positive
I love the operating system and the preloaded software.,operating system,love,positive
Very good quality and well made.,quality,very good,positive
"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",customer services,bad,negative
We researched and found the best price at MacConnection.,price,best,positive
wonderful features.,features,wonderful,positive
"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.",RMA service,great,positive
"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",value,good,positive
"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",screen,nice,positive
It's super fast and a great value for the price!,value,great,positive
Strengths:Well-shaped Weaknesses:A bad videocard!,videocard,bad,negative
"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,very responsive,positive
Keyboard is great but primary and secondary control buttons could be more durable.,Keyboard,great,positive
OS X is solid with lots of innovations such as quicklook which save heaps of time.,OS X,solid,positive
"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.",screen,hated,negative
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",windows 7,love,positive
"They offer the best warranty in the business, and don't 3rd party it out like Toshiba.",warranty,best,positive
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",island backlit keyboard,responsive,positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,like,positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,great,positive
"It is easy to use, good quality and good price.",price,good,positive
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,incredibly bright,positive
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,battery,so awesome,positive
"The design is awesome, quality is unprecedented.",quality,awesome,positive
"Now mainboard is broken, have to wait for a new one.",mainboard,broken,negative
The speed is incredible and I am more than satisfied.,speed,incredible,positive
Great laptop that offers many great features!,features,great,positive
"The screen is bright and clear, the operating system is solid and friendly to a novice.",operating system,solid,positive
"It is fast booting up , shutting down, and connection with the internet.",booting up,fast,positive
I had read online that some users were having sound problems.,sound,problems,negative
I love the glass touchpad.,glass touchpad,love,positive
I also did not like the loud noises it made or how the bottom of the computer would get really hot.,noises,loud,negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",quality,poor,negative
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,software,problems,negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",battery life,great,positive
This MacBook is an outstanding product with great value.,value,great,positive
"It even has a great webcam, and Skype works very well.",webcam,great,positive
Im glad that it has such great features in it.,features,great,positive
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,frustrating,negative
iPhotos is an excellent program for storing and organizing photos.,iPhotos,excellent,positive
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,problem,negative
I love the multi-touch trackpad.,multi-touch trackpad,love,positive
"The price was very good, and the product is top quality.",price,very good,positive
"I love the size, keyboard, the functions.",size,love,positive
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",multi-touch mouse,worth,positive
after much effort and 10 days ASUS replaced itThe WiFi is very weak.,WiFi,very weak,negative
"The design is awesome, quality is unprecedented.",design,awesome,positive
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",iLife,like,positive
They really do have the worlds very worst repair service.,repair service,very worst,negative
It's a great product for a great price!,price,great,positive
"It is easy to use, good quality and good price.",quality,good,positive
"More times that not the screen pops up saying I have a bad internet connection, or the page can't be displayed.",internet connection,bad,negative
"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3).",TFT panel,broken,negative
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,great,positive
"Screen is awesome, battery life is good.",Screen,awesome,positive
i love the size of the computer since i play games on it.,size,love,positive
"After way too many times sending the thing in for repairs (delivery service was slow, and without the laptop I had no access to the internet, and thus no way of tracking it to find out when I might hope to see my computer again), it finally kicked the bucket after just over 2 years.",delivery service,slow,negative
I also like the acer arcade but these were reallythe only two things I liked about this laptop.,acer arcade,like,positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,like,positive
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",extra features,like,positive
Good price.,price,good,positive
LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!,PRICE,wonderful,positive
"The screen is nice, side view angles are pretty good.",screen,nice,positive
also it comes with very useful applications like iphoto that it is the best photo application i have ever had,iphoto,like,positive
"But to be honest, the compatibility issues and the other little quirks make me think I ll buy a PC next time.",compatibility,issues,negative
"Great battery, speed, display.",battery,great,positive
The performance is awesome.,performance,awesome,positive
This is what I call a good after sales service.,after sales service,good,positive
"The Macbook starts fast, doesn't crash, has a fantastic display, is small and light (I have the 13.3"" model), and isn't always complaining about updates, lost connections, errors, blue screens, etc.",display,fantastic,positive
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,BATTERY,problem,negative
"The PhotoBooth is a great program, it takes very good pictures with the built-in camera.",program,great,positive
